impl,size,distribution,seed,threads,block_size,repeats,avg_ms
cuda,1048576,uniform,42,1,128,5,339.2206
cuda,1048576,uniform,42,1,256,5,37.9137
cuda,1048576,uniform,42,1,512,5,37.4931
cuda,4194304,uniform,42,1,128,5,73.4313
cuda,4194304,uniform,42,1,256,5,68.5234
cuda,4194304,uniform,42,1,512,5,68.4631
cuda,16777216,uniform,42,1,128,5,254.4663
cuda,16777216,uniform,42,1,256,5,250.0848
cuda,16777216,uniform,42,1,512,5,247.7205
cuda,67108864,uniform,42,1,128,5,1077.5116
cuda,67108864,uniform,42,1,256,5,1056.9728
cuda,67108864,uniform,42,1,512,5,1052.2630
cuda,64000000,uniform,42,1,128,5,1062.9842
cuda,64000000,uniform,42,1,256,5,1040.1632
cuda,64000000,uniform,42,1,512,5,1030.9760
cuda,1048576,gaussian,42,1,128,5,33.8572
cuda,1048576,gaussian,42,1,256,5,33.7815
cuda,1048576,gaussian,42,1,512,5,33.2985
cuda,4194304,gaussian,42,1,128,5,68.7578
cuda,4194304,gaussian,42,1,256,5,67.4398
cuda,4194304,gaussian,42,1,512,5,67.7050
cuda,16777216,gaussian,42,1,128,5,254.1236
cuda,16777216,gaussian,42,1,256,5,249.4858
cuda,16777216,gaussian,42,1,512,5,247.3781
cuda,67108864,gaussian,42,1,128,5,1072.7322
cuda,67108864,gaussian,42,1,256,5,1050.2908
cuda,67108864,gaussian,42,1,512,5,1035.4139
cuda,64000000,gaussian,42,1,128,5,1059.2565
cuda,64000000,gaussian,42,1,256,5,1034.2098
cuda,64000000,gaussian,42,1,512,5,1025.2436
cuda,1048576,nearly_sorted,42,1,128,5,35.3937
cuda,1048576,nearly_sorted,42,1,256,5,33.9710
cuda,1048576,nearly_sorted,42,1,512,5,34.0983
cuda,4194304,nearly_sorted,42,1,128,5,68.2977
cuda,4194304,nearly_sorted,42,1,256,5,67.7406
cuda,4194304,nearly_sorted,42,1,512,5,66.0854
cuda,16777216,nearly_sorted,42,1,128,5,246.9057
cuda,16777216,nearly_sorted,42,1,256,5,242.0456
cuda,16777216,nearly_sorted,42,1,512,5,240.4574
cuda,67108864,nearly_sorted,42,1,128,5,1055.0203
cuda,67108864,nearly_sorted,42,1,256,5,1030.3170
cuda,67108864,nearly_sorted,42,1,512,5,1025.7601
cuda,64000000,nearly_sorted,42,1,128,5,1042.7489
cuda,64000000,nearly_sorted,42,1,256,5,1026.1469
cuda,64000000,nearly_sorted,42,1,512,5,1013.8673
cuda,1048576,reversed,42,1,128,5,33.8787
cuda,1048576,reversed,42,1,256,5,33.5485
cuda,1048576,reversed,42,1,512,5,33.1823
cuda,4194304,reversed,42,1,128,5,66.4706
cuda,4194304,reversed,42,1,256,5,65.5653
cuda,4194304,reversed,42,1,512,5,65.0028
cuda,16777216,reversed,42,1,128,5,239.5183
cuda,16777216,reversed,42,1,256,5,235.7875
cuda,16777216,reversed,42,1,512,5,233.3857
cuda,67108864,reversed,42,1,128,5,1014.2191
cuda,67108864,reversed,42,1,256,5,995.8649
cuda,67108864,reversed,42,1,512,5,996.2882
cuda,64000000,reversed,42,1,128,5,1012.2610
cuda,64000000,reversed,42,1,256,5,985.0738
cuda,64000000,reversed,42,1,512,5,989.8553
