Implementation,Size,Distribution,Threads,BlockSize,AvgTime(ms)
Serial,1048576,uniform,1,256,72.2358
Serial,4194304,uniform,1,256,318.7795
Serial,16777216,uniform,1,256,1442.3377
Serial,67108864,uniform,1,256,6304.0690
Serial,64000000,uniform,1,256,6001.6158
Serial,1048576,gaussian,1,256,72.5125
Serial,4194304,gaussian,1,256,325.7033
Serial,16777216,gaussian,1,256,1440.6368
Serial,67108864,gaussian,1,256,6033.3608
Serial,64000000,gaussian,1,256,5794.5589
Serial,1048576,nearly_sorted,1,256,19.1705
Serial,4194304,nearly_sorted,1,256,89.1157
Serial,16777216,nearly_sorted,1,256,439.9388
Serial,67108864,nearly_sorted,1,256,1874.6352
Serial,64000000,nearly_sorted,1,256,1702.1825
Serial,1048576,reversed,1,256,15.1676
Serial,4194304,reversed,1,256,69.3165
Serial,16777216,reversed,1,256,354.1264
Serial,67108864,reversed,1,256,1555.8501
Serial,64000000,reversed,1,256,1481.7618
OpenMP,1048576,uniform,1,256,60.0427
OpenMP,1048576,uniform,2,256,34.1644
OpenMP,1048576,uniform,4,256,27.9778
OpenMP,1048576,uniform,8,256,18.6973
OpenMP,1048576,uniform,16,256,15.7593
OpenMP,4194304,uniform,1,256,276.8410
OpenMP,4194304,uniform,2,256,153.4853
OpenMP,4194304,uniform,4,256,121.3434
OpenMP,4194304,uniform,8,256,83.3255
OpenMP,4194304,uniform,16,256,60.4082
OpenMP,16777216,uniform,1,256,1274.7121
OpenMP,16777216,uniform,2,256,698.4692
OpenMP,16777216,uniform,4,256,522.5410
OpenMP,16777216,uniform,8,256,370.0245
OpenMP,16777216,uniform,16,256,319.6214
OpenMP,67108864,uniform,1,256,5612.7311
OpenMP,67108864,uniform,2,256,3070.7715
OpenMP,67108864,uniform,4,256,2299.1708
OpenMP,67108864,uniform,8,256,1653.5692
OpenMP,67108864,uniform,16,256,1310.6184
OpenMP,64000000,uniform,1,256,5202.5146
OpenMP,64000000,uniform,2,256,2848.5670
OpenMP,64000000,uniform,4,256,2207.3277
OpenMP,64000000,uniform,8,256,1517.7989
OpenMP,64000000,uniform,16,256,1238.9479
OpenMP,1048576,gaussian,1,256,61.7261
OpenMP,1048576,gaussian,2,256,33.3934
OpenMP,1048576,gaussian,4,256,27.7237
OpenMP,1048576,gaussian,8,256,18.8881
OpenMP,1048576,gaussian,16,256,17.2414
OpenMP,4194304,gaussian,1,256,277.5328
OpenMP,4194304,gaussian,2,256,152.7905
OpenMP,4194304,gaussian,4,256,125.5380
OpenMP,4194304,gaussian,8,256,84.6317
OpenMP,4194304,gaussian,16,256,61.3786
OpenMP,16777216,gaussian,1,256,1251.7368
OpenMP,16777216,gaussian,2,256,677.3542
OpenMP,16777216,gaussian,4,256,501.3377
OpenMP,16777216,gaussian,8,256,355.6909
OpenMP,16777216,gaussian,16,256,298.4761
OpenMP,67108864,gaussian,1,256,5296.7636
OpenMP,67108864,gaussian,2,256,2834.2213
OpenMP,67108864,gaussian,4,256,2050.6061
OpenMP,67108864,gaussian,8,256,1457.5797
OpenMP,67108864,gaussian,16,256,1178.7930
OpenMP,64000000,gaussian,1,256,4924.3433
OpenMP,64000000,gaussian,2,256,2617.5937
OpenMP,64000000,gaussian,4,256,1856.6050
OpenMP,64000000,gaussian,8,256,1283.0182
OpenMP,64000000,gaussian,16,256,971.2073
OpenMP,1048576,nearly_sorted,1,256,21.4051
OpenMP,1048576,nearly_sorted,2,256,12.1476
OpenMP,1048576,nearly_sorted,4,256,9.7570
OpenMP,1048576,nearly_sorted,8,256,6.9731
OpenMP,1048576,nearly_sorted,16,256,5.9893
OpenMP,4194304,nearly_sorted,1,256,97.7742
OpenMP,4194304,nearly_sorted,2,256,53.6267
OpenMP,4194304,nearly_sorted,4,256,40.9619
OpenMP,4194304,nearly_sorted,8,256,32.3644
