impl,size,distribution,seed,threads,block_size,repeats,avg_ms
serial,1048576,uniform,42,1,256,5,72.2358
serial,4194304,uniform,42,1,256,5,318.7795
serial,16777216,uniform,42,1,256,5,1442.3377
serial,67108864,uniform,42,1,256,5,6304.0690
serial,64000000,uniform,42,1,256,5,6001.6158
serial,1048576,gaussian,42,1,256,5,72.5125
serial,4194304,gaussian,42,1,256,5,325.7033
serial,16777216,gaussian,42,1,256,5,1440.6368
serial,67108864,gaussian,42,1,256,5,6033.3608
serial,64000000,gaussian,42,1,256,5,5794.5589
serial,1048576,nearly_sorted,42,1,256,5,19.1705
serial,4194304,nearly_sorted,42,1,256,5,89.1157
serial,16777216,nearly_sorted,42,1,256,5,439.9388
serial,67108864,nearly_sorted,42,1,256,5,1874.6352
serial,64000000,nearly_sorted,42,1,256,5,1702.1825
serial,1048576,reversed,42,1,256,5,15.1676
serial,4194304,reversed,42,1,256,5,69.3165
serial,16777216,reversed,42,1,256,5,354.1264
serial,67108864,reversed,42,1,256,5,1555.8501
serial,64000000,reversed,42,1,256,5,1481.7618
